"State.Name","County.Name","fips","Children.In.HH","Male","Owned","Seasonal.Housing","Single.Parent","Under.Eighteen","Vacant.Housing","Housing.Units","Senior","Median.Age","Pop2010","Regions","Divisions","Hispanic","Asian","Black","White","Year","Estimated.Population"
"New York","Queens","'36081'",33.4,48.4,43,0.7,8.8,20.7,5.9,835127,12.8,37.2,2230722,"Northeast","Mid Atlantic",27.5,22.8,17.7,27.6,2001,2231316
"New York","Rensselaer","'36083'",29.2,49.4,63.9,2.1,10.1,21.3,7.4,71475,13.6,39.2,159429,"Northeast","Mid Atlantic",3.8,2.2,6,85.7,2001,152700
"New York","Richmond","'36085'",35.6,48.5,64.1,0.4,8.6,23.3,5.9,176656,12.7,38.4,468730,"Northeast","Mid Atlantic",17.3,7.4,9.5,64,2001,448961
"New York","Rockland","'36087'",39.5,49,69.3,0.6,6.5,28.1,4,104057,13.4,36.7,311687,"Northeast","Mid Atlantic",15.7,6.1,11.1,65.3,2001,290613
"New York","St. Lawrence","'36089'",29.7,50.8,70.8,14.5,10,21.3,5.7,52133,13.9,37.5,111944,"Northeast","Mid Atlantic",1.9,1,2,92.9,2001,111497
"New York","Saratoga","'36091'",31.5,49.2,72.7,5.6,7.5,22.7,4.9,98656,13.7,40.9,219607,"Northeast","Mid Atlantic",2.4,1.8,1.4,92.7,2001,203974
"New York","Schenectady","'36093'",30.6,48.4,64.8,0.6,10.7,22.9,7.2,68196,14.9,39.8,154727,"Northeast","Mid Atlantic",5.7,3.2,8.7,77.2,2001,146334
"New York","Schoharie","'36095'",27.3,50,75.1,17.1,7.8,19.9,6.5,17231,15.9,42.5,32749,"Northeast","Mid Atlantic",2.8,0.7,1.2,93.9,2001,31794
"New York","Schuyler","'36097'",28.1,49.7,76.1,14.1,8.3,21.2,6.3,9455,17,44.2,18343,"Northeast","Mid Atlantic",1.3,0.3,0.8,96.2,2001,19175
"New York","Seneca","'36099'",28.7,52.4,73.4,9.9,9.2,21.3,6.6,16043,15.5,41,35251,"Northeast","Mid Atlantic",2.7,0.7,4.3,90.8,2001,34764
"New York","Steuben","'36101'",30.3,49.6,72.1,11,9.9,23.4,6.4,48875,15.9,41.4,98990,"Northeast","Mid Atlantic",1.4,1.2,1.5,94.4,2001,99216
"New York","Suffolk","'36103'",37.6,49.2,78.7,8.2,7.2,24,4.1,569985,13.5,39.8,1493350,"Northeast","Mid Atlantic",16.5,3.4,6.8,71.6,2001,1442488
"New York","Sullivan","'36105'",30.5,51.1,67,29.2,10.7,22.7,9.5,49186,14.8,41.7,77547,"Northeast","Mid Atlantic",13.6,1.3,8.2,74.5,2001,74143
