"County.Name","Attributes","Values"
"Onondaga","Black",10.4
"Ontario","Black",2.1
"Orange","Black",9.1
"Orleans","Black",5.5
"Oswego","Black",0.7
"Otsego","Black",1.5
"Putnam","Black",2.1
"Queens","Black",17.7
"Rensselaer","Black",6
"Richmond","Black",9.5
"Rockland","Black",11.1
"St. Lawrence","Black",2
"Saratoga","Black",1.4
"Schenectady","Black",8.7
"Schoharie","Black",1.2
"Schuyler","Black",0.8
"Seneca","Black",4.3
"Steuben","Black",1.5
"Suffolk","Black",6.8
"Sullivan","Black",8.2
"Tioga","Black",0.7
"Tompkins","Black",3.7
"Ulster","Black",5.5
"Warren","Black",0.8
"Washington","Black",2.7
"Wayne","Black",2.9
"Westchester","Black",13.3
"Wyoming","Black",5.3
"Yates","Black",0.8
"Albany","White",76
"Allegany","White",95.4
"Bronx","White",10.9
"Broome","White",86.3
"Cattaraugus","White",91.9
"Cayuga","White",91.3
"Chautauqua","White",89.3
"Chemung","White",87.4
"Chenango","White",95.6
"Clinton","White",91.1
"Columbia","White",88.2
"Cortland","White",93.7
"Delaware","White",93.2
"Dutchess","White",74.6
"Erie","White",77.7
"Essex","White",92.9
"Franklin","White",82.6
"Fulton","White",93.8
"Genesee","White",91.5
"Greene","White",87.1
"Hamilton","White",96.4
"Herkimer","White",95.6
"Jefferson","White",85.8
"Kings","White",35.7
"Lewis","White",96.8
"Livingston","White",92.2
"Madison","White",93.8
"Monroe","White",72.8
"Montgomery","White",85.1
"Nassau","White",65.5
"New York","White",48
"Niagara","White",87.3
"Oneida","White",84.8
"Onondaga","White",79.2
"Ontario","White",91.8
"Orange","White",68.2
"Orleans","White",87.8
"Oswego","White",95.1
"Otsego","White",92.7
"Putnam","White",82.9
"Queens","White",27.6
"Rensselaer","White",85.7
"Richmond","White",64
"Rockland","White",65.3
"St. Lawrence","White",92.9
"Saratoga","White",92.7
"Schenectady","White",77.2
"Schoharie","White",93.9
"Schuyler","White",96.2
"Seneca","White",90.8
"Steuben","White",94.4
"Suffolk","White",71.6
"Sullivan","White",74.5
"Tioga","White",96
"Tompkins","White",80.2
"Ulster","White",81.7
"Warren","White",95.2
"Washington","White",93.3
"Wayne","White",91
"Westchester","White",57.4
"Wyoming","White",90.2
"Yates","White",96.1
"Albany","Senior",13.9
"Allegany","Senior",15.2
"Bronx","Senior",10.5
"Broome","Senior",16.4
"Cattaraugus","Senior",15.5
"Cayuga","Senior",15.3
"Chautauqua","Senior",16.6
"Chemung","Senior",15.7
"Chenango","Senior",16.6
"Clinton","Senior",13.3
"Columbia","Senior",18.2
"Cortland","Senior",13.1
"Delaware","Senior",19.4
"Dutchess","Senior",13.5
"Erie","Senior",15.7
"Essex","Senior",18.1
"Franklin","Senior",13.3
"Fulton","Senior",16
"Genesee","Senior",15.6
"Greene","Senior",17.3
"Hamilton","Senior",23.4
"Herkimer","Senior",16.8
"Jefferson","Senior",11.2
"Kings","Senior",11.5
"Lewis","Senior",15
"Livingston","Senior",13.7
"Madison","Senior",13.9
"Monroe","Senior",13.9
"Montgomery","Senior",16.6
"Nassau","Senior",15.3
"New York","Senior",13.5
"Niagara","Senior",15.9
"Oneida","Senior",16.3
"Onondaga","Senior",14
"Ontario","Senior",15.4
"Orange","Senior",11
"Orleans","Senior",14.4
"Oswego","Senior",12.6
"Otsego","Senior",16.5
"Putnam","Senior",12.5
"Queens","Senior",12.8
"Rensselaer","Senior",13.6
"Richmond","Senior",12.7
"Rockland","Senior",13.4
"St. Lawrence","Senior",13.9
"Saratoga","Senior",13.7
"Schenectady","Senior",14.9
"Schoharie","Senior",15.9
"Schuyler","Senior",17
"Seneca","Senior",15.5
"Steuben","Senior",15.9
"Suffolk","Senior",13.5
"Sullivan","Senior",14.8
"Tioga","Senior",15.7
"Tompkins","Senior",10.8
"Ulster","Senior",14.8
"Warren","Senior",17.1
"Washington","Senior",15.4
"Wayne","Senior",14.3
"Westchester","Senior",14.7
"Wyoming","Senior",13.6
"Yates","Senior",16.6
"Albany","Owned",57.5
"Allegany","Owned",74.5
"Bronx","Owned",19.3
"Broome","Owned",64.8
"Cattaraugus","Owned",72.2
"Cayuga","Owned",71.1
"Chautauqua","Owned",68
"Chemung","Owned",67.7
"Chenango","Owned",75
"Clinton","Owned",68.3
"Columbia","Owned",71.6
"Cortland","Owned",64.9
"Delaware","Owned",74.2
"Dutchess","Owned",69.5
"Erie","Owned",64.8
"Essex","Owned",73.7
"Franklin","Owned",71.4
"Fulton","Owned",70.9
"Genesee","Owned",71.9
"Greene","Owned",72.5
"Hamilton","Owned",80.7
"Herkimer","Owned",71.3
"Jefferson","Owned",58.2
"Kings","Owned",27.7
"Lewis","Owned",77
"Livingston","Owned",73.1
"Madison","Owned",73.8
"Monroe","Owned",64.3
"Montgomery","Owned",67
"Nassau","Owned",79.9
"New York","Owned",22.8
"Niagara","Owned",69.1
"Oneida","Owned",66.7
"Onondaga","Owned",64.7
"Ontario","Owned",73.1
"Orange","Owned",68.9
"Orleans","Owned",75.3
"Oswego","Owned",72.2
"Otsego","Owned",72.6
"Putnam","Owned",81.9
"Queens","Owned",43
"Rensselaer","Owned",63.9
"Richmond","Owned",64.1
"Rockland","Owned",69.3
"St. Lawrence","Owned",70.8
"Saratoga","Owned",72.7
"Schenectady","Owned",64.8
"Schoharie","Owned",75.1
"Schuyler","Owned",76.1
"Seneca","Owned",73.4
"Steuben","Owned",72.1
"Suffolk","Owned",78.7
"Sullivan","Owned",67
"Tioga","Owned",77.7
"Tompkins","Owned",54.1
"Ulster","Owned",68.7
"Warren","Owned",69.3
"Washington","Owned",73.4
"Wayne","Owned",76.8
"Westchester","Owned",61.6
"Wyoming","Owned",75.9
"Yates","Owned",75.6
"Albany","Seasonal.Housing",1.2
"Allegany","Seasonal.Housing",23.7
"Bronx","Seasonal.Housing",0.2
"Broome","Seasonal.Housing",2
"Cattaraugus","Seasonal.Housing",14.7
"Cayuga","Seasonal.Housing",7.9
"Chautauqua","Seasonal.Housing",11.3
"Chemung","Seasonal.Housing",1
"Chenango","Seasonal.Housing",10.5
"Clinton","Seasonal.Housing",6.2
"Columbia","Seasonal.Housing",13.8
"Cortland","Seasonal.Housing",3.8
"Delaware","Seasonal.Housing",29.7
"Dutchess","Seasonal.Housing",3
"Erie","Seasonal.Housing",0.7
"Essex","Seasonal.Housing",29.9
"Franklin","Seasonal.Housing",17.5
"Fulton","Seasonal.Housing",13.7
"Genesee","Seasonal.Housing",1.1
"Greene","Seasonal.Housing",23.2
"Hamilton","Seasonal.Housing",71.1
"Herkimer","Seasonal.Housing",14.1
"Jefferson","Seasonal.Housing",18.7
"Kings","Seasonal.Housing",0.4
"Lewis","Seasonal.Housing",25.2
"Livingston","Seasonal.Housing",4.8
"Madison","Seasonal.Housing",6.8
"Monroe","Seasonal.Housing",0.5
"Montgomery","Seasonal.Housing",1.4
"Nassau","Seasonal.Housing",0.9
"New York","Seasonal.Housing",3.3
"Niagara","Seasonal.Housing",1.1
"Oneida","Seasonal.Housing",3.3
"Onondaga","Seasonal.Housing",1.2
"Ontario","Seasonal.Housing",5.4
"Orange","Seasonal.Housing",1.8
"Orleans","Seasonal.Housing",5.8
"Oswego","Seasonal.Housing",7
"Otsego","Seasonal.Housing",11.8
"Putnam","Seasonal.Housing",3.7
"Queens","Seasonal.Housing",0.7
"Rensselaer","Seasonal.Housing",2.1
"Richmond","Seasonal.Housing",0.4
"Rockland","Seasonal.Housing",0.6
"St. Lawrence","Seasonal.Housing",14.5
"Saratoga","Seasonal.Housing",5.6
"Schenectady","Seasonal.Housing",0.6
"Schoharie","Seasonal.Housing",17.1
"Schuyler","Seasonal.Housing",14.1
"Seneca","Seasonal.Housing",9.9
"Steuben","Seasonal.Housing",11
"Suffolk","Seasonal.Housing",8.2
"Sullivan","Seasonal.Housing",29.2
"Tioga","Seasonal.Housing",2.5
"Tompkins","Seasonal.Housing",1.6
"Ulster","Seasonal.Housing",8.1
"Warren","Seasonal.Housing",22.2
"Washington","Seasonal.Housing",10
"Wayne","Seasonal.Housing",4.5
"Westchester","Seasonal.Housing",0.9
"Wyoming","Seasonal.Housing",7.6
"Yates","Seasonal.Housing",24
"Albany","Single.Parent",8.9
"Allegany","Single.Parent",8.8
"Bronx","Single.Parent",20.6
"Broome","Single.Parent",9.2
"Cattaraugus","Single.Parent",10.1
"Cayuga","Single.Parent",10
"Chautauqua","Single.Parent",9.9
"Chemung","Single.Parent",11.1
"Chenango","Single.Parent",10.1
"Clinton","Single.Parent",9.4
"Columbia","Single.Parent",8.4
"Cortland","Single.Parent",10
"Delaware","Single.Parent",8.4
"Dutchess","Single.Parent",8
"Erie","Single.Parent",9.6
"Essex","Single.Parent",7.7
"Franklin","Single.Parent",11.2
"Fulton","Single.Parent",11.3
"Genesee","Single.Parent",9
"Greene","Single.Parent",8.1
"Hamilton","Single.Parent",5.6
"Herkimer","Single.Parent",9.4
"Jefferson","Single.Parent",11.3
"Kings","Single.Parent",11.7
"Lewis","Single.Parent",8.3
"Livingston","Single.Parent",8.7
"Madison","Single.Parent",9.3
"Monroe","Single.Parent",10.5
"Montgomery","Single.Parent",11.4
"Nassau","Single.Parent",6
"New York","Single.Parent",6.2
"Niagara","Single.Parent",9.7
"Oneida","Single.Parent",10.4
"Onondaga","Single.Parent",10.5
"Ontario","Single.Parent",8.6
"Orange","Single.Parent",9.4
"Orleans","Single.Parent",10.5
"Oswego","Single.Parent",11.2
"Otsego","Single.Parent",7.6
"Putnam","Single.Parent",6
"Queens","Single.Parent",8.8
"Rensselaer","Single.Parent",10.1
"Richmond","Single.Parent",8.6
"Rockland","Single.Parent",6.5
