"","x","y","Crime"
"71",-77.0126216783876,38.9555868983782,"THEFT"
"72",-76.9915268321121,38.8995465598016,"THEFT"
"73",-77.0199046645093,38.9664138079825,"BURGLARY/ROBBERY"
"74",-77.0540216353927,38.9006874467337,"BURGLARY/ROBBERY"
"75",-77.0269943708424,38.9486210698159,"THEFT"
"76",-77.0332633366381,38.9096495020067,"THEFT"
"77",-76.9409781202629,38.8922753575031,"THEFT"
"78",-76.9408939133923,38.9012525115683,"BURGLARY/ROBBERY"
"79",-77.0262412575881,38.9397390724126,"OTHER"
"80",-77.0423674218745,38.921618631158,"THEFT"
"81",-76.9938932245125,38.8630086855117,"THEFT"
"82",-76.9832939004612,38.9074640147969,"THEFT"
"83",-76.9382667651944,38.8997197317127,"BURGLARY/ROBBERY"
"84",-77.0400882912435,38.9084762748688,"THEFT"
"85",-76.971562628953,38.9204575343975,"THEFT"
"86",-77.0107335969546,38.9056450298619,"BURGLARY/ROBBERY"
"87",-76.9709288557083,38.9210281459134,"THEFT"
"88",-76.9709288557083,38.9210281459134,"THEFT"
"89",-76.9601076779148,38.9291504557025,"THEFT"
"90",-76.971562628953,38.9204575343975,"THEFT"
"91",-76.9673088981908,38.918928249284,"THEFT"
"92",-76.9673088981908,38.918928249284,"THEFT"
"93",-76.9855094447279,38.8981136390743,"THEFT"
"94",-76.9844873272403,38.9333541054453,"THEFT"
"95",-77.0716940589795,38.9346303421194,"THEFT"
"96",-77.0258906033692,38.9587916542772,"THEFT"
"97",-76.9883115952856,38.8927810004647,"THEFT"
"98",-77.0259868913839,38.9064353675349,"THEFT"
"99",-77.0384872878435,38.9103844201081,"THEFT"
"100",-76.9519583271064,38.9225983434501,"THEFT"
"101",-77.0264659497582,38.9546477245202,"OTHER"
"102",-77.043453929854,38.9068445607933,"THEFT"
"103",-77.0302753430978,38.9597634930396,"THEFT"
"104",-77.0396702609364,38.9031434744161,"THEFT"
"105",-77.0102617965846,38.9118518214742,"THEFT"
"106",-77.0219263529351,38.8991214165084,"THEFT"
"107",-77.0400882912435,38.9084762748688,"BURGLARY/ROBBERY"
"108",-76.9271294923183,38.9007763021288,"THEFT"
"109",-77.0427439573063,38.9341670745529,"THEFT"
"110",-77.0265175341391,38.9072369912516,"THEFT"
"111",-77.0400882912435,38.9084762748688,"BURGLARY/ROBBERY"
"112",-77.0006566336496,38.8485773431757,"THEFT"
"113",-77.0074821880279,38.9037265045875,"THEFT"
"114",-77.0400991219122,38.9072331193249,"BURGLARY/ROBBERY"
"115",-77.0222899164597,38.9558376863015,"SEX ABUSE"
"116",-76.9385969584505,38.8911169144282,"BURGLARY/ROBBERY"
"117",-77.025987426361,38.907903728008,"THEFT"
"118",-76.9381076775416,38.8704874409199,"BURGLARY/ROBBERY"
"119",-77.0229382556488,38.9269930179899,"THEFT"
"120",-76.9408939133923,38.9012525115683,"THEFT"
"121",-77.0219095525046,38.9194892844121,"BURGLARY/ROBBERY"
"122",-77.0139206211335,38.93121933761,"THEFT"
"123",-77.0121652394331,38.9067518354264,"THEFT"
"124",-77.032093940987,38.9056991286064,"THEFT"
"125",-76.9846736673608,38.9249673930768,"THEFT"
"126",-77.0239890987556,38.9020888279923,"THEFT"
"127",-76.9875592496216,38.8605214225022,"BURGLARY/ROBBERY"
"128",-76.9848500447051,38.8547111051074,"BURGLARY/ROBBERY"
"129",-77.0434631976043,38.9031331165693,"THEFT"
"130",-76.9370384297682,38.8938546300455,"THEFT"
"131",-76.9308035247933,38.8806177908096,"BURGLARY/ROBBERY"
"132",-77.0708888522716,38.9368018339875,"THEFT"
"133",-77.0416602367845,38.9151959466644,"THEFT"
"134",-76.9328926442296,38.8773399543908,"BURGLARY/ROBBERY"
"135",-77.0257444006317,38.9692772894038,"THEFT"
"136",-77.0234568133455,38.8998114298296,"THEFT"
"137",-77.017200188837,38.9005185035909,"THEFT"
"138",-76.9949609332841,38.9013256389257,"THEFT"
"139",-76.9868844317543,38.8808807795571,"THEFT"
"140",-77.0307985253849,38.9155686560547,"THEFT"
"141",-76.9867809044198,38.8798087695063,"THEFT"
"142",-77.0155533992842,38.9085631920925,"BURGLARY/ROBBERY"
"143",-76.9868844317543,38.8808807795571,"THEFT"
"144",-76.9343889888827,38.8918803384556,"OTHER"
"145",-76.9496256975203,38.8944733054089,"THEFT"
"146",-77.0365072451709,38.917557853326,"BURGLARY/ROBBERY"
"147",-76.9824656262198,38.8999689440582,"THEFT"
"148",-76.9971093498709,38.8277857999125,"BURGLARY/ROBBERY"
"149",-77.0229444432022,38.910381659783,"BURGLARY/ROBBERY"
"150",-77.0441878426029,38.9004483544626,"THEFT"
"151",-77.0852995777749,38.9599074551124,"THEFT"
"152",-77.0423674218745,38.921618631158,"THEFT"
"153",-77.0257444006317,38.9692772894038,"THEFT"
"154",-76.9961844690536,38.8792845370235,"THEFT"
"155",-77.0332539944676,38.9111266926122,"THEFT"
"156",-77.0785145680049,38.9487689780862,"THEFT"
"157",-77.0257444006317,38.9692772894038,"THEFT"
"158",-76.946975255975,38.8933460861641,"THEFT"
"159",-77.0319563568566,38.9002045054868,"THEFT"
"160",-77.0441878426029,38.9004483544626,"THEFT"
"161",-77.0241303641691,38.9352333147876,"THEFT"
"162",-77.0820422368761,38.9479099583663,"THEFT"
