"Date","Volume","Adj.Close","Stock"
2012-01-05,56081400,25.59,"Microsoft"
2012-01-04,80516100,25.33,"Microsoft"
2012-01-03,64731500,24.75,"Microsoft"
2011-12-30,27395700,24,"Microsoft"
2011-12-29,22616900,24.06,"Microsoft"
2011-12-28,29822500,23.87,"Microsoft"
2011-12-27,21287200,24.08,"Microsoft"
2011-12-23,23205800,24.07,"Microsoft"
2011-12-22,35794100,23.86,"Microsoft"
2011-12-21,64132500,23.82,"Microsoft"
2011-12-20,60767600,24.07,"Microsoft"
2011-12-19,52258300,23.6,"Microsoft"
2011-12-16,101408100,24.04,"Microsoft"
2011-12-15,46213900,23.63,"Microsoft"
2011-12-14,47926400,23.66,"Microsoft"
2011-12-13,54581100,23.82,"Microsoft"
2011-12-12,38945900,23.59,"Microsoft"
2011-12-09,53788500,23.76,"Microsoft"
2011-12-08,60522200,23.48,"Microsoft"
2011-12-07,62667000,23.67,"Microsoft"
2011-12-06,46175300,23.72,"Microsoft"
2011-12-05,56818400,23.76,"Microsoft"
2011-12-02,52293800,23.32,"Microsoft"
2011-12-01,48545400,23.37,"Microsoft"
2011-11-30,81350900,23.65,"Microsoft"
2011-11-29,40917100,22.97,"Microsoft"
2011-11-28,46766700,22.99,"Microsoft"
2011-11-25,26164600,22.47,"Microsoft"
2011-11-23,49099700,22.62,"Microsoft"
2011-11-22,49204500,22.92,"Microsoft"
2011-11-21,61882500,23.11,"Microsoft"
2011-11-18,47626200,23.39,"Microsoft"
2011-11-17,70977500,23.61,"Microsoft"
2011-11-16,53262800,24.1,"Microsoft"
2011-11-15,43874200,24.72,"Microsoft"
2011-11-14,34199200,24.56,"Microsoft"
2011-11-11,37903000,24.69,"Microsoft"
2011-11-10,32514400,24.12,"Microsoft"
2011-11-09,62950900,24.04,"Microsoft"
2011-11-08,47822500,24.92,"Microsoft"
2011-11-07,42589700,24.59,"Microsoft"
2011-11-04,36549200,24.09,"Microsoft"
2011-11-03,65836100,24.35,"Microsoft"
2011-11-02,53533100,23.87,"Microsoft"
2011-11-01,61182600,23.85,"Microsoft"
2011-10-31,46799000,24.44,"Microsoft"
2011-10-28,57712100,24.76,"Microsoft"
2011-10-27,74512400,25.01,"Microsoft"
2011-10-26,63029900,24.4,"Microsoft"
2011-10-25,53554600,24.6,"Microsoft"
2011-10-24,56897800,24.95,"Microsoft"
2011-10-21,76620600,24.92,"Microsoft"
2011-10-20,76300200,24.81,"Microsoft"
2011-10-19,42880000,24.9,"Microsoft"
2011-10-18,52487900,25.06,"Microsoft"
2011-10-17,39453300,24.76,"Microsoft"
2011-10-14,50947700,25.02,"Microsoft"
2011-10-13,43823500,24.94,"Microsoft"
2011-10-12,52489800,24.74,"Microsoft"
2011-10-11,38826200,24.78,"Microsoft"
2011-10-10,41815300,24.72,"Microsoft"
2011-10-07,52741600,24.09,"Microsoft"
2011-10-06,55111400,24.17,"Microsoft"
2011-10-05,94061300,23.76,"Microsoft"
2011-10-04,83485400,23.25,"Microsoft"
2011-10-03,64592500,22.51,"Microsoft"
2011-09-30,54060500,22.84,"Microsoft"
2011-09-29,63407300,23.35,"Microsoft"
2011-09-28,60736200,23.47,"Microsoft"
2011-09-27,55620700,23.56,"Microsoft"
2011-09-26,51057600,23.35,"Microsoft"
2011-09-23,64768100,23,"Microsoft"
2011-09-22,96278300,23,"Microsoft"
2011-09-21,72750700,23.85,"Microsoft"
2011-09-20,49211900,24.76,"Microsoft"
2011-09-19,52324900,24.97,"Microsoft"
2011-09-16,89681500,24.89,"Microsoft"
2011-09-15,67808300,24.77,"Microsoft"
2011-09-14,66739200,24.32,"Microsoft"
2011-09-13,48792300,23.9,"Microsoft"
2011-09-12,55046100,23.76,"Microsoft"
2011-09-09,64529200,23.62,"Microsoft"
2011-09-08,65811900,24.06,"Microsoft"
2011-09-07,41961000,23.86,"Microsoft"
2011-09-06,54929300,23.41,"Microsoft"
2011-09-02,43894400,23.68,"Microsoft"
2011-09-01,60510800,24.05,"Microsoft"
2011-08-31,59300800,24.41,"Microsoft"
2011-08-30,57341400,24.07,"Microsoft"
2011-08-29,38863200,23.71,"Microsoft"
2011-08-26,71957000,23.17,"Microsoft"
2011-08-25,48192000,22.55,"Microsoft"
2011-08-24,45329700,22.85,"Microsoft"
2011-08-23,59670600,22.68,"Microsoft"
2011-08-22,54721000,22.01,"Microsoft"
2011-08-19,77397900,22.07,"Microsoft"
2011-08-18,105714200,22.64,"Microsoft"
2011-08-17,50923700,23.17,"Microsoft"
2011-08-16,54251500,23.26,"Microsoft"
2011-08-15,56529400,23.26,"Microsoft"
2011-08-12,64787100,22.89,"Microsoft"
2011-08-11,90690100,22.97,"Microsoft"
2011-08-10,127819900,22.07,"Microsoft"
2011-08-09,126268900,23.33,"Microsoft"
2014-10-13,-16445100,-56.16,"Difference"
2014-10-10,-14391600,-56.7,"Difference"
2014-10-09,-42889400,-55.17,"Difference"
2014-10-08,-24368300,-54.02,"Difference"
2014-10-07,-16344500,-53.22,"Difference"
2014-10-06,-16438900,-53.53,"Difference"
2014-10-03,-10992600,-53.53,"Difference"
2014-10-02,-22561600,-54.14,"Difference"
2014-10-01,-13353900,-53.28,"Difference"
2014-09-30,-22140600,-54.39,"Difference"
2014-09-29,-23521600,-53.67,"Difference"
2014-09-26,-35234700,-54.34,"Difference"
2014-09-25,-66890900,-51.83,"Difference"
2014-09-24,-33515400,-54.67,"Difference"
2014-09-23,-29916900,-56.08,"Difference"
2014-09-22,-14066100,-54,"Difference"
2014-09-19,131683900,-53.44,"Difference"
2014-09-18,-1490800,-55.11,"Difference"
2014-09-17,-22643200,-55.06,"Difference"
2014-09-16,-38953000,-54.1,"Difference"
2014-09-15,-23585800,-55.39,"Difference"
2014-09-12,-24381400,-54.96,"Difference"
2014-09-11,-33136700,-54.43,"Difference"
2014-09-10,-73439500,-54.16,"Difference"
2014-09-09,-149305100,-51.23,"Difference"
2014-09-08,-558800,-51.89,"Difference"
2014-09-05,-21470500,-53.06,"Difference"
2014-09-04,-59119300,-52.86,"Difference"
2014-09-03,-91548600,-53.98,"Difference"
2014-09-02,-30534600,-58.21,"Difference"
2014-08-29,-22959400,-57.07,"Difference"
2014-08-28,-50732200,-57.37,"Difference"
2014-08-27,-26004400,-57.26,"Difference"
2014-08-26,-18246700,-55.88,"Difference"
2014-08-25,-23246600,-56.37,"Difference"
2014-08-22,-25807900,-56.17,"Difference"
2014-08-21,-11149900,-55.36,"Difference"
2014-08-20,-27862100,-55.62,"Difference"
2014-08-19,-41159100,-55.2,"Difference"
2014-08-18,-20680900,-54.33,"Difference"
2014-08-15,-7339700,-53.47,"Difference"
2014-08-14,-8802800,-53.5,"Difference"
2014-08-13,-9026500,-53.43,"Difference"
2014-08-12,-12363900,-52.72,"Difference"
2014-08-11,-16233400,-53.06,"Difference"
2014-08-08,-12922300,-51.81,"Difference"
